file,model,language,strategy,retries,num_comp,temp,status,quality
1007.ts,builtin,ts,none,0,0,0,success,15
1010.ts,builtin,ts,none,0,0,0,success,20
1066.ts,builtin,ts,none,0,0,0,failure,NA
1068.ts,builtin,ts,none,0,0,0,success,15
1076.ts,builtin,ts,none,0,0,0,success,10
1091.ts,builtin,ts,none,0,0,0,success,45
1109.ts,builtin,ts,none,0,0,0,success,40
1161.ts,builtin,ts,none,0,0,0,success,25
1166.ts,builtin,ts,none,0,0,0,success,20
1173.ts,builtin,ts,none,0,0,0,failure,NA
1196.ts,builtin,ts,none,0,0,0,failure,NA
1197.ts,builtin,ts,none,0,0,0,success,10
1214.ts,builtin,ts,none,0,0,0,failure,NA
1217.ts,builtin,ts,none,0,0,0,failure,NA
1226.ts,builtin,ts,none,0,0,0,failure,NA
1243.ts,builtin,ts,none,0,0,0,failure,NA
126.ts,builtin,ts,none,0,0,0,failure,NA
1331.ts,builtin,ts,none,0,0,0,success,25
1361.ts,builtin,ts,none,0,0,0,failure,NA
1366.ts,builtin,ts,none,0,0,0,failure,NA
1368.ts,builtin,ts,none,0,0,0,success,5
1372.ts,builtin,ts,none,0,0,0,success,50
1381.ts,builtin,ts,none,0,0,0,success,20
1403.ts,builtin,ts,none,0,0,0,success,15
1414.ts,builtin,ts,none,0,0,0,failure,NA
1433.ts,builtin,ts,none,0,0,0,failure,NA
1440.ts,builtin,ts,none,0,0,0,failure,NA
1459.ts,builtin,ts,none,0,0,0,success,25
1461.ts,builtin,ts,none,0,0,0,success,10
1499.ts,builtin,ts,none,0,0,0,failure,NA
154.ts,builtin,ts,none,0,0,0,failure,NA
1570.ts,builtin,ts,none,0,0,0,success,40
1573.ts,builtin,ts,none,0,0,0,failure,NA
1608.ts,builtin,ts,none,0,0,0,failure,NA
1663.ts,builtin,ts,none,0,0,0,success,25
1722.ts,builtin,ts,none,0,0,0,success,25
1725.ts,builtin,ts,none,0,0,0,success,5
1727.ts,builtin,ts,none,0,0,0,success,0
175.ts,builtin,ts,none,0,0,0,success,15
1754.ts,builtin,ts,none,0,0,0,success,5
1764.ts,builtin,ts,none,0,0,0,success,15
1776.ts,builtin,ts,none,0,0,0,success,20
1782.ts,builtin,ts,none,0,0,0,failure,NA
1795.ts,builtin,ts,none,0,0,0,success,50
181.ts,builtin,ts,none,0,0,0,failure,NA
1829.ts,builtin,ts,none,0,0,0,failure,NA
194.ts,builtin,ts,none,0,0,0,success,30
216.ts,builtin,ts,none,0,0,0,failure,NA
218.ts,builtin,ts,none,0,0,0,failure,NA
221.ts,builtin,ts,none,0,0,0,failure,NA
234.ts,builtin,ts,none,0,0,0,success,10
248.ts,builtin,ts,none,0,0,0,success,15
281.ts,builtin,ts,none,0,0,0,failure,NA
305.ts,builtin,ts,none,0,0,0,success,35
331.ts,builtin,ts,none,0,0,0,success,10
361.ts,builtin,ts,none,0,0,0,failure,NA
385.ts,builtin,ts,none,0,0,0,failure,NA
402.ts,builtin,ts,none,0,0,0,success,15
435.ts,builtin,ts,none,0,0,0,success,20
440.ts,builtin,ts,none,0,0,0,success,10
49.ts,builtin,ts,none,0,0,0,failure,NA
492.ts,builtin,ts,none,0,0,0,success,15
493.ts,builtin,ts,none,0,0,0,failure,NA
497.ts,builtin,ts,none,0,0,0,success,30
498.ts,builtin,ts,none,0,0,0,failure,NA
523.ts,builtin,ts,none,0,0,0,success,10
543.ts,builtin,ts,none,0,0,0,success,15
553.ts,builtin,ts,none,0,0,0,success,25
557.ts,builtin,ts,none,0,0,0,success,10
562.ts,builtin,ts,none,0,0,0,success,40
569.ts,builtin,ts,none,0,0,0,failure,NA
570.ts,builtin,ts,none,0,0,0,success,20
580.ts,builtin,ts,none,0,0,0,failure,NA
59.ts,builtin,ts,none,0,0,0,failure,NA
6.ts,builtin,ts,none,0,0,0,success,5
604.ts,builtin,ts,none,0,0,0,failure,NA
649.ts,builtin,ts,none,0,0,0,success,15
675.ts,builtin,ts,none,0,0,0,success,10
696.ts,builtin,ts,none,0,0,0,failure,NA
70.ts,builtin,ts,none,0,0,0,failure,NA
708.ts,builtin,ts,none,0,0,0,failure,NA
724.ts,builtin,ts,none,0,0,0,success,20
725.ts,builtin,ts,none,0,0,0,failure,NA
734.ts,builtin,ts,none,0,0,0,success,60
77.ts,builtin,ts,none,0,0,0,success,60
782.ts,builtin,ts,none,0,0,0,failure,NA
788.ts,builtin,ts,none,0,0,0,success,5
797.ts,builtin,ts,none,0,0,0,success,85
822.ts,builtin,ts,none,0,0,0,failure,NA
864.ts,builtin,ts,none,0,0,0,success,50
867.ts,builtin,ts,none,0,0,0,success,25
880.ts,builtin,ts,none,0,0,0,success,30
922.ts,builtin,ts,none,0,0,0,success,10
938.ts,builtin,ts,none,0,0,0,success,15
946.ts,builtin,ts,none,0,0,0,success,10
954.ts,builtin,ts,none,0,0,0,success,20
964.ts,builtin,ts,none,0,0,0,success,25
995.ts,builtin,ts,none,0,0,0,success,10
999.ts,builtin,ts,none,0,0,0,failure,NA
1083.ts,builtin,ts,none,0,0,0,failure,NA
