file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
1007.ts,builtin,ts,none,0,0,0,1,1,15.0
1010.ts,builtin,ts,none,0,0,0,1,1,20.0
1066.ts,builtin,ts,none,0,0,0,1,0,NA
1068.ts,builtin,ts,none,0,0,0,1,1,15.0
1076.ts,builtin,ts,none,0,0,0,1,1,10.0
1091.ts,builtin,ts,none,0,0,0,1,1,45.0
1109.ts,builtin,ts,none,0,0,0,1,1,40.0
1161.ts,builtin,ts,none,0,0,0,1,1,25.0
1166.ts,builtin,ts,none,0,0,0,1,1,20.0
1173.ts,builtin,ts,none,0,0,0,1,0,NA
1196.ts,builtin,ts,none,0,0,0,1,0,NA
1197.ts,builtin,ts,none,0,0,0,1,1,10.0
1214.ts,builtin,ts,none,0,0,0,1,0,NA
1217.ts,builtin,ts,none,0,0,0,1,0,NA
1226.ts,builtin,ts,none,0,0,0,1,0,NA
1243.ts,builtin,ts,none,0,0,0,1,0,NA
126.ts,builtin,ts,none,0,0,0,1,0,NA
1331.ts,builtin,ts,none,0,0,0,1,1,25.0
1361.ts,builtin,ts,none,0,0,0,1,0,NA
1366.ts,builtin,ts,none,0,0,0,1,0,NA
1368.ts,builtin,ts,none,0,0,0,1,1,5.0
1372.ts,builtin,ts,none,0,0,0,1,1,50.0
1381.ts,builtin,ts,none,0,0,0,1,1,20.0
1403.ts,builtin,ts,none,0,0,0,1,1,15.0
1414.ts,builtin,ts,none,0,0,0,1,0,NA
1433.ts,builtin,ts,none,0,0,0,1,0,NA
1440.ts,builtin,ts,none,0,0,0,1,0,NA
1459.ts,builtin,ts,none,0,0,0,1,1,25.0
1461.ts,builtin,ts,none,0,0,0,1,1,10.0
1499.ts,builtin,ts,none,0,0,0,1,0,NA
154.ts,builtin,ts,none,0,0,0,1,0,NA
1570.ts,builtin,ts,none,0,0,0,1,1,40.0
1573.ts,builtin,ts,none,0,0,0,1,0,NA
1608.ts,builtin,ts,none,0,0,0,1,0,NA
1663.ts,builtin,ts,none,0,0,0,1,1,25.0
1722.ts,builtin,ts,none,0,0,0,1,1,25.0
1725.ts,builtin,ts,none,0,0,0,1,1,5.0
1727.ts,builtin,ts,none,0,0,0,1,1,0.0
175.ts,builtin,ts,none,0,0,0,1,1,15.0
1754.ts,builtin,ts,none,0,0,0,1,1,5.0
1764.ts,builtin,ts,none,0,0,0,1,1,15.0
1776.ts,builtin,ts,none,0,0,0,1,1,20.0
1782.ts,builtin,ts,none,0,0,0,1,0,NA
