file,model,language,strategy,retries,num_comp,temp,status,quality
1180.ts,builtin,ts,none,0,0,0,success,160
1299.ts,builtin,ts,none,0,0,0,failure,NA
918.ts,builtin,ts,none,0,0,0,success,85
544.ts,builtin,ts,none,0,0,0,success,60
1713.ts,builtin,ts,none,0,0,0,success,70
1706.ts,builtin,ts,none,0,0,0,success,65
374.ts,builtin,ts,none,0,0,0,failure,NA
765.ts,builtin,ts,none,0,0,0,success,80
369.ts,builtin,ts,none,0,0,0,failure,NA
914.ts,builtin,ts,none,0,0,0,failure,NA
1489.ts,builtin,ts,none,0,0,0,success,35
785.ts,builtin,ts,none,0,0,0,failure,NA
821.ts,builtin,ts,none,0,0,0,failure,NA
9.ts,builtin,ts,none,0,0,0,success,95
843.ts,builtin,ts,none,0,0,0,success,85
447.ts,builtin,ts,none,0,0,0,success,95
1217.ts,builtin,ts,none,0,0,0,failure,NA
1765.ts,builtin,ts,none,0,0,0,success,155
1720.ts,builtin,ts,none,0,0,0,success,145
1083.ts,builtin,ts,none,0,0,0,success,130
