file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
1180.ts,builtin,ts,none,0,0,0,1,1,160.0
1299.ts,builtin,ts,none,0,0,0,1,0,NA
918.ts,builtin,ts,none,0,0,0,1,1,85.0
544.ts,builtin,ts,none,0,0,0,1,1,60.0
1713.ts,builtin,ts,none,0,0,0,1,1,70.0
1706.ts,builtin,ts,none,0,0,0,1,1,65.0
374.ts,builtin,ts,none,0,0,0,1,0,NA
765.ts,builtin,ts,none,0,0,0,1,1,80.0
369.ts,builtin,ts,none,0,0,0,1,0,NA
914.ts,builtin,ts,none,0,0,0,1,0,NA
1489.ts,builtin,ts,none,0,0,0,1,1,35.0
785.ts,builtin,ts,none,0,0,0,1,0,NA
821.ts,builtin,ts,none,0,0,0,1,0,NA
9.ts,builtin,ts,none,0,0,0,1,1,95.0
843.ts,builtin,ts,none,0,0,0,1,1,85.0
447.ts,builtin,ts,none,0,0,0,1,1,95.0
1217.ts,builtin,ts,none,0,0,0,1,0,NA
1765.ts,builtin,ts,none,0,0,0,1,1,155.0
1720.ts,builtin,ts,none,0,0,0,1,1,145.0
1083.ts,builtin,ts,none,0,0,0,1,1,130.0
1180.ts,codex,ts,simple,2,5,1,3,0,NA
1299.ts,codex,ts,simple,2,5,1,3,0,NA
918.ts,codex,ts,simple,2,5,1,3,0,NA
544.ts,codex,ts,simple,2,5,1,3,0,NA
1713.ts,codex,ts,simple,2,5,1,3,2,0.0
1706.ts,codex,ts,simple,2,5,1,3,2,0.0
374.ts,codex,ts,simple,2,5,1,3,0,NA
765.ts,codex,ts,simple,2,5,1,3,1,0.0
369.ts,codex,ts,simple,2,5,1,3,0,NA
914.ts,codex,ts,simple,2,5,1,3,2,0.0
1489.ts,codex,ts,simple,2,5,1,3,2,0.0
785.ts,codex,ts,simple,2,5,1,3,0,NA
821.ts,codex,ts,simple,2,5,1,3,0,NA
9.ts,codex,ts,simple,2,5,1,3,0,NA
843.ts,codex,ts,simple,2,5,1,3,0,NA
447.ts,codex,ts,simple,2,5,1,3,0,NA
1217.ts,codex,ts,simple,2,5,1,3,0,NA
1765.ts,codex,ts,simple,2,5,1,3,0,NA
1720.ts,codex,ts,simple,2,5,1,3,0,NA
1083.ts,codex,ts,simple,2,5,1,3,0,NA
1180.ts,codex,ts,tree,1,10,0.8,3,0,NA
1299.ts,codex,ts,tree,1,10,0.8,3,1,10.0
918.ts,codex,ts,tree,1,10,0.8,3,0,NA
544.ts,codex,ts,tree,1,10,0.8,3,0,NA
1713.ts,codex,ts,tree,1,10,0.8,3,2,0.0
1706.ts,codex,ts,tree,1,10,0.8,3,2,0.0
374.ts,codex,ts,tree,1,10,0.8,3,1,80.0
765.ts,codex,ts,tree,1,10,0.8,3,0,NA
369.ts,codex,ts,tree,1,10,0.8,3,1,5.0
914.ts,codex,ts,tree,1,10,0.8,3,0,NA
1489.ts,codex,ts,tree,1,10,0.8,3,0,NA
785.ts,codex,ts,tree,1,10,0.8,3,0,NA
821.ts,codex,ts,tree,1,10,0.8,3,0,NA
9.ts,codex,ts,tree,1,10,0.8,3,0,NA
843.ts,codex,ts,tree,1,10,0.8,3,0,NA
447.ts,codex,ts,tree,1,10,0.8,3,0,NA
1217.ts,codex,ts,tree,1,10,0.8,3,2,0.0
1765.ts,codex,ts,tree,1,10,0.8,3,0,NA
1720.ts,codex,ts,tree,1,10,0.8,3,1,85.0
1083.ts,codex,ts,tree,1,10,0.8,3,2,77.5
