file,model,language,strategy,retries,num_comp,temp,status,quality
1180.ts,codex,ts,simple,2,5,1,failure,NA
1299.ts,codex,ts,simple,2,5,1,failure,NA
918.ts,codex,ts,simple,2,5,1,failure,NA
544.ts,codex,ts,simple,2,5,1,failure,NA
1713.ts,codex,ts,simple,2,5,1,failure,NA
1706.ts,codex,ts,simple,2,5,1,success,0
374.ts,codex,ts,simple,2,5,1,failure,NA
765.ts,codex,ts,simple,2,5,1,failure,NA
369.ts,codex,ts,simple,2,5,1,failure,NA
914.ts,codex,ts,simple,2,5,1,failure,NA
1489.ts,codex,ts,simple,2,5,1,success,0
785.ts,codex,ts,simple,2,5,1,failure,NA
821.ts,codex,ts,simple,2,5,1,failure,NA
9.ts,codex,ts,simple,2,5,1,failure,NA
843.ts,codex,ts,simple,2,5,1,failure,NA
447.ts,codex,ts,simple,2,5,1,failure,NA
1217.ts,codex,ts,simple,2,5,1,failure,NA
1765.ts,codex,ts,simple,2,5,1,failure,NA
1720.ts,codex,ts,simple,2,5,1,failure,NA
1083.ts,codex,ts,simple,2,5,1,failure,NA
