file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
216.ts,codex,ts,simple,2,5,1,3,1,0.0
216.ts,codex,ts,simple,1,10,0.8,3,3,0.0
734.ts,codex,ts,simple,2,5,1,3,0,NA
734.ts,codex,ts,simple,1,10,0.8,3,0,NA
569.ts,codex,ts,simple,2,5,1,3,3,0.0
569.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1066.ts,codex,ts,simple,2,5,1,3,1,0.0
1066.ts,codex,ts,simple,1,10,0.8,3,0,NA
331.ts,codex,ts,simple,2,5,1,3,3,0.0
331.ts,codex,ts,simple,1,10,0.8,3,3,0.0
218.ts,codex,ts,simple,2,5,1,3,0,NA
218.ts,codex,ts,simple,1,10,0.8,3,0,NA
1795.ts,codex,ts,simple,2,5,1,3,3,0.0
1795.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1440.ts,codex,ts,simple,2,5,1,3,2,0.0
1440.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1663.ts,codex,ts,simple,2,5,1,3,3,0.0
1663.ts,codex,ts,simple,1,10,0.8,3,3,0.0
880.ts,codex,ts,simple,2,5,1,3,2,2.5
880.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1782.ts,codex,ts,simple,2,5,1,3,3,0.0
1782.ts,codex,ts,simple,1,10,0.8,3,2,0.0
1381.ts,codex,ts,simple,2,5,1,3,2,0.0
1381.ts,codex,ts,simple,1,10,0.8,3,3,0.0
181.ts,codex,ts,simple,2,5,1,3,2,5.0
181.ts,codex,ts,simple,1,10,0.8,3,1,0.0
797.ts,codex,ts,simple,2,5,1,3,0,NA
797.ts,codex,ts,simple,1,10,0.8,3,3,0.0
440.ts,codex,ts,simple,2,5,1,3,2,2.5
440.ts,codex,ts,simple,1,10,0.8,3,1,0.0
1461.ts,codex,ts,simple,2,5,1,3,3,0.0
1461.ts,codex,ts,simple,1,10,0.8,3,3,0.0
562.ts,codex,ts,simple,2,5,1,3,3,0.0
562.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1776.ts,codex,ts,simple,2,5,1,3,1,15.0
1776.ts,codex,ts,simple,1,10,0.8,3,1,30.0
1173.ts,codex,ts,simple,2,5,1,3,2,0.0
1173.ts,codex,ts,simple,1,10,0.8,3,2,0.0
154.ts,codex,ts,simple,2,5,1,3,2,12.5
154.ts,codex,ts,simple,1,10,0.8,3,3,0.0
