file,model,language,strategy,retries,num_comp,temp,status,quality
1226.ts,incoder,ts,tree,1,10,1,success,15
1226.ts,incoder,ts,tree,1,10,0.8,success,10
1764.ts,incoder,ts,tree,1,10,1,success,15
1764.ts,incoder,ts,tree,1,10,0.8,success,20
1217.ts,incoder,ts,tree,1,10,1,success,140
1217.ts,incoder,ts,tree,1,10,0.8,timeout,NA
1782.ts,incoder,ts,tree,1,10,1,failure,NA
1782.ts,incoder,ts,tree,1,10,0.8,failure,NA
1722.ts,incoder,ts,tree,1,10,1,success,15
1722.ts,incoder,ts,tree,1,10,0.8,success,20
194.ts,incoder,ts,tree,1,10,1,success,35
194.ts,incoder,ts,tree,1,10,0.8,success,30
181.ts,incoder,ts,tree,1,10,1,failure,NA
181.ts,incoder,ts,tree,1,10,0.8,failure,NA
880.ts,incoder,ts,tree,1,10,1,success,25
880.ts,incoder,ts,tree,1,10,0.8,success,25
1499.ts,incoder,ts,tree,1,10,1,failure,NA
1499.ts,incoder,ts,tree,1,10,0.8,failure,NA
1091.ts,incoder,ts,tree,1,10,1,success,25
1091.ts,incoder,ts,tree,1,10,0.8,success,30
954.ts,incoder,ts,tree,1,10,1,success,5
954.ts,incoder,ts,tree,1,10,0.8,success,10
385.ts,incoder,ts,tree,1,10,1,failure,NA
385.ts,incoder,ts,tree,1,10,0.8,failure,NA
1366.ts,incoder,ts,tree,1,10,1,failure,NA
1366.ts,incoder,ts,tree,1,10,0.8,failure,NA
1331.ts,incoder,ts,tree,1,10,1,success,15
1331.ts,incoder,ts,tree,1,10,0.8,success,15
696.ts,incoder,ts,tree,1,10,1,failure,NA
696.ts,incoder,ts,tree,1,10,0.8,failure,NA
523.ts,incoder,ts,tree,1,10,1,success,20
523.ts,incoder,ts,tree,1,10,0.8,success,20
1381.ts,incoder,ts,tree,1,10,1,success,15
1381.ts,incoder,ts,tree,1,10,0.8,success,20
435.ts,incoder,ts,tree,1,10,1,success,10
435.ts,incoder,ts,tree,1,10,0.8,success,10
1173.ts,incoder,ts,tree,1,10,1,failure,NA
1173.ts,incoder,ts,tree,1,10,0.8,failure,NA
1608.ts,incoder,ts,tree,1,10,1,failure,NA
1608.ts,incoder,ts,tree,1,10,0.8,timeout,NA
1570.ts,incoder,ts,tree,1,10,1,success,35
1570.ts,incoder,ts,tree,1,10,0.8,success,25
440.ts,incoder,ts,tree,1,10,1,success,10
440.ts,incoder,ts,tree,1,10,0.8,success,10
1166.ts,incoder,ts,tree,1,10,1,success,15
1166.ts,incoder,ts,tree,1,10,0.8,success,15
1161.ts,incoder,ts,tree,1,10,1,success,20
1161.ts,incoder,ts,tree,1,10,0.8,success,30
1459.ts,incoder,ts,tree,1,10,1,success,15
1459.ts,incoder,ts,tree,1,10,0.8,success,20
281.ts,incoder,ts,tree,1,10,1,failure,NA
281.ts,incoder,ts,tree,1,10,0.8,failure,NA
175.ts,incoder,ts,tree,1,10,1,success,10
175.ts,incoder,ts,tree,1,10,0.8,success,10
493.ts,incoder,ts,tree,1,10,1,success,50
493.ts,incoder,ts,tree,1,10,0.8,success,50
248.ts,incoder,ts,tree,1,10,1,success,20
248.ts,incoder,ts,tree,1,10,0.8,success,20
1372.ts,incoder,ts,tree,1,10,1,success,45
1372.ts,incoder,ts,tree,1,10,0.8,success,35
999.ts,incoder,ts,tree,1,10,1,failure,NA
999.ts,incoder,ts,tree,1,10,0.8,failure,NA
1010.ts,incoder,ts,tree,1,10,1,success,5
1010.ts,incoder,ts,tree,1,10,0.8,success,10
708.ts,incoder,ts,tree,1,10,1,failure,NA
708.ts,incoder,ts,tree,1,10,0.8,failure,NA
1076.ts,incoder,ts,tree,1,10,1,success,5
1076.ts,incoder,ts,tree,1,10,0.8,success,5
234.ts,incoder,ts,tree,1,10,1,success,15
234.ts,incoder,ts,tree,1,10,0.8,success,15
1197.ts,incoder,ts,tree,1,10,1,success,10
1197.ts,incoder,ts,tree,1,10,0.8,success,10
543.ts,incoder,ts,tree,1,10,1,success,10
543.ts,incoder,ts,tree,1,10,0.8,success,10
1196.ts,incoder,ts,tree,1,10,1,failure,NA
1196.ts,incoder,ts,tree,1,10,0.8,failure,NA
59.ts,incoder,ts,tree,1,10,1,failure,NA
59.ts,incoder,ts,tree,1,10,0.8,failure,NA
864.ts,incoder,ts,tree,1,10,1,success,45
864.ts,incoder,ts,tree,1,10,0.8,success,45
724.ts,incoder,ts,tree,1,10,1,success,15
724.ts,incoder,ts,tree,1,10,0.8,success,10
1776.ts,incoder,ts,tree,1,10,1,success,15
1776.ts,incoder,ts,tree,1,10,0.8,success,15
797.ts,incoder,ts,tree,1,10,1,success,85
797.ts,incoder,ts,tree,1,10,0.8,success,65
1414.ts,incoder,ts,tree,1,10,1,failure,NA
1414.ts,incoder,ts,tree,1,10,0.8,failure,NA
553.ts,incoder,ts,tree,1,10,1,success,30
553.ts,incoder,ts,tree,1,10,0.8,success,35
1433.ts,incoder,ts,tree,1,10,1,failure,NA
1433.ts,incoder,ts,tree,1,10,0.8,failure,NA
562.ts,incoder,ts,tree,1,10,1,success,40
562.ts,incoder,ts,tree,1,10,0.8,success,40
734.ts,incoder,ts,tree,1,10,1,timeout,NA
734.ts,incoder,ts,tree,1,10,0.8,timeout,NA
1361.ts,incoder,ts,tree,1,10,1,failure,NA
1361.ts,incoder,ts,tree,1,10,0.8,failure,NA
1573.ts,incoder,ts,tree,1,10,1,failure,NA
1573.ts,incoder,ts,tree,1,10,0.8,failure,NA
1243.ts,incoder,ts,tree,1,10,1,failure,NA
1243.ts,incoder,ts,tree,1,10,0.8,failure,NA
1440.ts,incoder,ts,tree,1,10,1,failure,NA
1440.ts,incoder,ts,tree,1,10,0.8,failure,NA
77.ts,incoder,ts,tree,1,10,1,success,30
77.ts,incoder,ts,tree,1,10,0.8,success,35
1066.ts,incoder,ts,tree,1,10,1,timeout,NA
1066.ts,incoder,ts,tree,1,10,0.8,timeout,NA
946.ts,incoder,ts,tree,1,10,1,success,10
946.ts,incoder,ts,tree,1,10,0.8,success,5
1109.ts,incoder,ts,tree,1,10,1,success,30
1109.ts,incoder,ts,tree,1,10,0.8,success,40
964.ts,incoder,ts,tree,1,10,1,success,15
964.ts,incoder,ts,tree,1,10,0.8,success,25
361.ts,incoder,ts,tree,1,10,1,failure,NA
361.ts,incoder,ts,tree,1,10,0.8,failure,NA
492.ts,incoder,ts,tree,1,10,1,success,20
492.ts,incoder,ts,tree,1,10,0.8,success,10
331.ts,incoder,ts,tree,1,10,1,success,10
331.ts,incoder,ts,tree,1,10,0.8,success,10
569.ts,incoder,ts,tree,1,10,1,failure,NA
569.ts,incoder,ts,tree,1,10,0.8,failure,NA
1214.ts,incoder,ts,tree,1,10,1,failure,NA
1214.ts,incoder,ts,tree,1,10,0.8,failure,NA
580.ts,incoder,ts,tree,1,10,1,timeout,NA
580.ts,incoder,ts,tree,1,10,0.8,timeout,NA
604.ts,incoder,ts,tree,1,10,1,failure,NA
604.ts,incoder,ts,tree,1,10,0.8,failure,NA
