file,model,language,strategy,retries,num_comp,temp,status,quality
1226.ts,incoder,ts,tree,1,20,1,failure,NA
1226.ts,incoder,ts,tree,1,20,0.8,failure,NA
1764.ts,incoder,ts,tree,1,20,1,failure,NA
1764.ts,incoder,ts,tree,1,20,0.8,failure,NA
1217.ts,incoder,ts,tree,1,20,1,timeout,NA
1217.ts,incoder,ts,tree,1,20,0.8,timeout,NA
1782.ts,incoder,ts,tree,1,20,1,failure,NA
1782.ts,incoder,ts,tree,1,20,0.8,failure,NA
1722.ts,incoder,ts,tree,1,20,1,failure,NA
1722.ts,incoder,ts,tree,1,20,0.8,failure,NA
194.ts,incoder,ts,tree,1,20,1,failure,NA
194.ts,incoder,ts,tree,1,20,0.8,failure,NA
181.ts,incoder,ts,tree,1,20,1,failure,NA
181.ts,incoder,ts,tree,1,20,0.8,failure,NA
880.ts,incoder,ts,tree,1,20,1,failure,NA
880.ts,incoder,ts,tree,1,20,0.8,failure,NA
1499.ts,incoder,ts,tree,1,20,1,failure,NA
1499.ts,incoder,ts,tree,1,20,0.8,failure,NA
1091.ts,incoder,ts,tree,1,20,1,success,35
1091.ts,incoder,ts,tree,1,20,0.8,success,35
954.ts,incoder,ts,tree,1,20,1,failure,NA
954.ts,incoder,ts,tree,1,20,0.8,failure,NA
385.ts,incoder,ts,tree,1,20,1,failure,NA
385.ts,incoder,ts,tree,1,20,0.8,failure,NA
1366.ts,incoder,ts,tree,1,20,1,failure,NA
1366.ts,incoder,ts,tree,1,20,0.8,failure,NA
1331.ts,incoder,ts,tree,1,20,1,failure,NA
1331.ts,incoder,ts,tree,1,20,0.8,failure,NA
696.ts,incoder,ts,tree,1,20,1,failure,NA
696.ts,incoder,ts,tree,1,20,0.8,failure,NA
523.ts,incoder,ts,tree,1,20,1,failure,NA
523.ts,incoder,ts,tree,1,20,0.8,failure,NA
1381.ts,incoder,ts,tree,1,20,1,failure,NA
1381.ts,incoder,ts,tree,1,20,0.8,failure,NA
435.ts,incoder,ts,tree,1,20,1,failure,NA
435.ts,incoder,ts,tree,1,20,0.8,failure,NA
1173.ts,incoder,ts,tree,1,20,1,failure,NA
1173.ts,incoder,ts,tree,1,20,0.8,failure,NA
1608.ts,incoder,ts,tree,1,20,1,failure,NA
1608.ts,incoder,ts,tree,1,20,0.8,failure,NA
1570.ts,incoder,ts,tree,1,20,1,failure,NA
1570.ts,incoder,ts,tree,1,20,0.8,success,40
440.ts,incoder,ts,tree,1,20,1,failure,NA
440.ts,incoder,ts,tree,1,20,0.8,failure,NA
1166.ts,incoder,ts,tree,1,20,1,failure,NA
1166.ts,incoder,ts,tree,1,20,0.8,failure,NA
1161.ts,incoder,ts,tree,1,20,1,failure,NA
1161.ts,incoder,ts,tree,1,20,0.8,failure,NA
1459.ts,incoder,ts,tree,1,20,1,failure,NA
1459.ts,incoder,ts,tree,1,20,0.8,failure,NA
281.ts,incoder,ts,tree,1,20,1,failure,NA
281.ts,incoder,ts,tree,1,20,0.8,failure,NA
175.ts,incoder,ts,tree,1,20,1,success,0
175.ts,incoder,ts,tree,1,20,0.8,success,0
493.ts,incoder,ts,tree,1,20,1,failure,NA
493.ts,incoder,ts,tree,1,20,0.8,failure,NA
248.ts,incoder,ts,tree,1,20,1,failure,NA
248.ts,incoder,ts,tree,1,20,0.8,failure,NA
1372.ts,incoder,ts,tree,1,20,1,failure,NA
1372.ts,incoder,ts,tree,1,20,0.8,failure,NA
999.ts,incoder,ts,tree,1,20,1,failure,NA
999.ts,incoder,ts,tree,1,20,0.8,failure,NA
1010.ts,incoder,ts,tree,1,20,1,success,0
1010.ts,incoder,ts,tree,1,20,0.8,success,0
708.ts,incoder,ts,tree,1,20,1,failure,NA
708.ts,incoder,ts,tree,1,20,0.8,success,0
1076.ts,incoder,ts,tree,1,20,1,failure,NA
1076.ts,incoder,ts,tree,1,20,0.8,failure,NA
234.ts,incoder,ts,tree,1,20,1,failure,NA
234.ts,incoder,ts,tree,1,20,0.8,failure,NA
1197.ts,incoder,ts,tree,1,20,1,failure,NA
1197.ts,incoder,ts,tree,1,20,0.8,failure,NA
543.ts,incoder,ts,tree,1,20,1,failure,NA
543.ts,incoder,ts,tree,1,20,0.8,failure,NA
1196.ts,incoder,ts,tree,1,20,1,failure,NA
1196.ts,incoder,ts,tree,1,20,0.8,failure,NA
59.ts,incoder,ts,tree,1,20,1,failure,NA
59.ts,incoder,ts,tree,1,20,0.8,failure,NA
864.ts,incoder,ts,tree,1,20,1,failure,NA
864.ts,incoder,ts,tree,1,20,0.8,failure,NA
724.ts,incoder,ts,tree,1,20,1,failure,NA
724.ts,incoder,ts,tree,1,20,0.8,failure,NA
1776.ts,incoder,ts,tree,1,20,1,timeout,NA
1776.ts,incoder,ts,tree,1,20,0.8,timeout,NA
797.ts,incoder,ts,tree,1,20,1,timeout,NA
797.ts,incoder,ts,tree,1,20,0.8,timeout,NA
1414.ts,incoder,ts,tree,1,20,1,failure,NA
1414.ts,incoder,ts,tree,1,20,0.8,failure,NA
553.ts,incoder,ts,tree,1,20,1,success,30
553.ts,incoder,ts,tree,1,20,0.8,success,0
1433.ts,incoder,ts,tree,1,20,1,failure,NA
1433.ts,incoder,ts,tree,1,20,0.8,failure,NA
562.ts,incoder,ts,tree,1,20,1,success,45
562.ts,incoder,ts,tree,1,20,0.8,success,45
734.ts,incoder,ts,tree,1,20,1,failure,NA
734.ts,incoder,ts,tree,1,20,0.8,failure,NA
1361.ts,incoder,ts,tree,1,20,1,failure,NA
1361.ts,incoder,ts,tree,1,20,0.8,failure,NA
1573.ts,incoder,ts,tree,1,20,1,failure,NA
1573.ts,incoder,ts,tree,1,20,0.8,failure,NA
1243.ts,incoder,ts,tree,1,20,1,failure,NA
1243.ts,incoder,ts,tree,1,20,0.8,failure,NA
1440.ts,incoder,ts,tree,1,20,1,failure,NA
1440.ts,incoder,ts,tree,1,20,0.8,failure,NA
77.ts,incoder,ts,tree,1,20,1,failure,NA
77.ts,incoder,ts,tree,1,20,0.8,failure,NA
1066.ts,incoder,ts,tree,1,20,1,timeout,NA
1066.ts,incoder,ts,tree,1,20,0.8,timeout,NA
946.ts,incoder,ts,tree,1,20,1,failure,NA
946.ts,incoder,ts,tree,1,20,0.8,failure,NA
1109.ts,incoder,ts,tree,1,20,1,failure,NA
1109.ts,incoder,ts,tree,1,20,0.8,failure,NA
1083.ts,incoder,ts,tree,1,20,1,failure,NA
1083.ts,incoder,ts,tree,1,20,0.8,failure,NA
964.ts,incoder,ts,tree,1,20,1,failure,NA
964.ts,incoder,ts,tree,1,20,0.8,failure,NA
361.ts,incoder,ts,tree,1,20,1,failure,NA
361.ts,incoder,ts,tree,1,20,0.8,failure,NA
492.ts,incoder,ts,tree,1,20,1,success,0
492.ts,incoder,ts,tree,1,20,0.8,success,0
331.ts,incoder,ts,tree,1,20,1,failure,NA
331.ts,incoder,ts,tree,1,20,0.8,failure,NA
569.ts,incoder,ts,tree,1,20,1,failure,NA
569.ts,incoder,ts,tree,1,20,0.8,failure,NA
1214.ts,incoder,ts,tree,1,20,1,failure,NA
1214.ts,incoder,ts,tree,1,20,0.8,success,30
580.ts,incoder,ts,tree,1,20,1,failure,NA
580.ts,incoder,ts,tree,1,20,0.8,failure,NA
604.ts,incoder,ts,tree,1,20,1,failure,NA
604.ts,incoder,ts,tree,1,20,0.8,failure,NA
126.ts,incoder,ts,tree,1,20,1,failure,NA
126.ts,incoder,ts,tree,1,20,0.8,failure,NA
1829.ts,incoder,ts,tree,1,20,1,failure,NA
1829.ts,incoder,ts,tree,1,20,0.8,failure,NA
867.ts,incoder,ts,tree,1,20,1,failure,NA
867.ts,incoder,ts,tree,1,20,0.8,failure,NA
497.ts,incoder,ts,tree,1,20,1,failure,NA
497.ts,incoder,ts,tree,1,20,0.8,failure,NA
782.ts,incoder,ts,tree,1,20,1,failure,NA
782.ts,incoder,ts,tree,1,20,0.8,failure,NA
1754.ts,incoder,ts,tree,1,20,1,failure,NA
1754.ts,incoder,ts,tree,1,20,0.8,failure,NA
788.ts,incoder,ts,tree,1,20,1,failure,NA
788.ts,incoder,ts,tree,1,20,0.8,failure,NA
922.ts,incoder,ts,tree,1,20,1,failure,NA
922.ts,incoder,ts,tree,1,20,0.8,failure,NA
995.ts,incoder,ts,tree,1,20,1,failure,NA
995.ts,incoder,ts,tree,1,20,0.8,failure,NA
1725.ts,incoder,ts,tree,1,20,1,failure,NA
1725.ts,incoder,ts,tree,1,20,0.8,failure,NA
305.ts,incoder,ts,tree,1,20,1,failure,NA
305.ts,incoder,ts,tree,1,20,0.8,failure,NA
221.ts,incoder,ts,tree,1,20,1,failure,NA
221.ts,incoder,ts,tree,1,20,0.8,failure,NA
725.ts,incoder,ts,tree,1,20,1,failure,NA
725.ts,incoder,ts,tree,1,20,0.8,failure,NA
1795.ts,incoder,ts,tree,1,20,1,failure,NA
1795.ts,incoder,ts,tree,1,20,0.8,failure,NA
70.ts,incoder,ts,tree,1,20,1,failure,NA
70.ts,incoder,ts,tree,1,20,0.8,failure,NA
570.ts,incoder,ts,tree,1,20,1,failure,NA
570.ts,incoder,ts,tree,1,20,0.8,failure,NA
1403.ts,incoder,ts,tree,1,20,1,failure,NA
1403.ts,incoder,ts,tree,1,20,0.8,failure,NA
649.ts,incoder,ts,tree,1,20,1,failure,NA
649.ts,incoder,ts,tree,1,20,0.8,failure,NA
1368.ts,incoder,ts,tree,1,20,1,failure,NA
1368.ts,incoder,ts,tree,1,20,0.8,failure,NA
218.ts,incoder,ts,tree,1,20,1,timeout,NA
218.ts,incoder,ts,tree,1,20,0.8,timeout,NA
6.ts,incoder,ts,tree,1,20,1,success,0
6.ts,incoder,ts,tree,1,20,0.8,success,0
154.ts,incoder,ts,tree,1,20,1,failure,NA
154.ts,incoder,ts,tree,1,20,0.8,failure,NA
1727.ts,incoder,ts,tree,1,20,1,failure,NA
1727.ts,incoder,ts,tree,1,20,0.8,failure,NA
822.ts,incoder,ts,tree,1,20,1,failure,NA
822.ts,incoder,ts,tree,1,20,0.8,failure,NA
402.ts,incoder,ts,tree,1,20,1,failure,NA
402.ts,incoder,ts,tree,1,20,0.8,failure,NA
1007.ts,incoder,ts,tree,1,20,1,failure,NA
